Year,Primary Type,Arrest_Rate
2016,THEFT,0.10583023674688043
2017,ASSAULT,0.17937428778618048
2017,BATTERY,0.20501208342641294
2017,BURGLARY,0.05022690562264441
2017,CRIMINAL DAMAGE,0.06025133413668445
2017,DECEPTIVE PRACTICE,0.04290978847998385
2017,MOTOR VEHICLE THEFT,0.0804920913884007
2017,NARCOTICS,0.9994864332791236
2017,OTHER OFFENSE,0.2185618341824919
2017,ROBBERY,0.0776870633785035
2017,THEFT,0.10056377840247255
2018,ASSAULT,0.16493531948255585
2018,BATTERY,0.20667027873096142
2018,BURGLARY,0.050906614454754404
2018,CRIMINAL DAMAGE,0.06059734751824031
2018,DECEPTIVE PRACTICE,0.044715650477667186
2018,MOTOR VEHICLE THEFT,0.055182774161241864
2018,NARCOTICS,0.9995585963363496
2018,OTHER OFFENSE,0.2071560907827698
2018,ROBBERY,0.0835657473401508
2018,THEFT,0.09710373558377111
2019,ASSAULT,0.18153607447633824
2019,BATTERY,0.2102776375567895
2019,BURGLARY,0.057163606183214026
2019,CRIMINAL DAMAGE,0.06258666566727879
2019,DECEPTIVE PRACTICE,0.04671298216507673
2019,MOTOR VEHICLE THEFT,0.05791935843172199
2019,NARCOTICS,0.9996684350132626
2019,OTHER OFFENSE,0.22093300011900513
2019,ROBBERY,0.08855534709193245
2019,THEFT,0.09779356469703515
2020,ASSAULT,0.12771084337349398
2020,BATTERY,0.16686738282190858
2020,BURGLARY,0.05662746888914259
2020,CRIMINAL DAMAGE,0.04746403022265091
2020,DECEPTIVE PRACTICE,0.020888149062986628
2020,MOTOR VEHICLE THEFT,0.048082714314394696
2020,NARCOTICS,0.9995996263178967
2020,OTHER OFFENSE,0.14088638706096884
2020,ROBBERY,0.0732017823042648
2020,THEFT,0.06780480727378246
2021,ASSAULT,0.08995281163979552
2021,BATTERY,0.14299476336330402
2021,BURGLARY,0.046532572800960674
2021,CRIMINAL DAMAGE,0.035026897788404066
2021,DECEPTIVE PRACTICE,0.013442659526996876
2021,MOTOR VEHICLE THEFT,0.03573785950023574
2021,NARCOTICS,0.9885587746816756
2021,OTHER OFFENSE,0.10652625546242568
2021,ROBBERY,0.06338383838383839
2021,THEFT,0.03804134822653341
2022,ASSAULT,0.09656961660420871
2022,BATTERY,0.1457865442827849
2022,BURGLARY,0.048716260697827515
2022,CRIMINAL DAMAGE,0.03299082568807339
2022,DECEPTIVE PRACTICE,0.01780398108691845
2022,MOTOR VEHICLE THEFT,0.027757078986587184
2022,NARCOTICS,0.9764557494219046
2022,OTHER OFFENSE,0.14319906995828488
2022,ROBBERY,0.06236055332440875
2022,THEFT,0.036958778848430754
2023,ASSAULT,0.10291193495647563
2023,BATTERY,0.1581885155137737
2023,BURGLARY,0.05956196581196581
2023,CRIMINAL DAMAGE,0.031335149863760216
2023,DECEPTIVE PRACTICE,0.042474132510146916
2023,MOTOR VEHICLE THEFT,0.02693464588460487
2023,NARCOTICS,0.9758020164986251
2023,OTHER OFFENSE,0.15797838525111252
2023,ROBBERY,0.060180995475113123
2023,THEFT,0.049716551316384375
2024,ASSAULT,0.10775127768313458
2024,BATTERY,0.17122486130374479
2024,BURGLARY,0.05492289442467378
2024,CRIMINAL DAMAGE,0.038732271055857116
2024,DECEPTIVE PRACTICE,0.032868771583621115
2024,MOTOR VEHICLE THEFT,0.027910832719233603
2024,NARCOTICS,0.9632598530394122
2024,OTHER OFFENSE,0.19238406728185958
2024,ROBBERY,0.082062534284147
2024,THEFT,0.06810296401546442
2025,ASSAULT,0.12393856433576168
2025,BATTERY,0.1897739833956584
2025,BURGLARY,0.045763760049474335
2025,CRIMINAL DAMAGE,0.042749723271880605
2025,DECEPTIVE PRACTICE,0.030234471410941998
2025,MOTOR VEHICLE THEFT,0.033453362759902426
2025,NARCOTICS,0.9480922205743562
2025,OTHER OFFENSE,0.20226469354742077
2025,ROBBERY,0.09111225717723913
2025,THEFT,0.0893074893074893
2026,ASSAULT,0.13863337713534823
2026,BATTERY,0.19335631463491068
2026,BURGLARY,0.023047375160051217
2026,CRIMINAL DAMAGE,0.041578947368421056
2026,DECEPTIVE PRACTICE,0.029636711281070746
2026,MOTOR VEHICLE THEFT,0.030345800988002825
2026,NARCOTICS,0.9318181818181818
2026,OTHER OFFENSE,0.17954911433172302
2026,ROBBERY,0.05472636815920398
2026,THEFT,0.09895972259269138
