Date,Primary Type,Arrest,Location Description,Latitude,Longitude,Year,Month,Hour
07/14/2025 10:49:00 AM,BATTERY,False,RESIDENCE,41.777013364,-87.765339802,2025,7,10
05/13/2025 01:55:00 PM,THEFT,False,DEPARTMENT STORE,41.929743818,-87.684273777,2025,5,13
07/11/2024 08:37:00 PM,WEAPONS VIOLATION,True,STREET,41.734206003,-87.646897358,2024,7,20
04/27/2025 10:35:00 AM,THEFT,False,APARTMENT,41.890976131,-87.621752835,2025,4,10
02/19/2025 05:14:00 PM,OFFENSE INVOLVING CHILDREN,False,APARTMENT,41.811393188,-87.603028028,2025,2,17
12/21/2024 10:23:00 AM,OTHER OFFENSE,True,APARTMENT,41.949667586,-87.755277464,2024,12,10
06/08/2025 12:40:00 AM,ASSAULT,False,STREET,41.92620492,-87.769717913,2025,6,0
12/22/2025 03:17:00 AM,CRIMINAL DAMAGE,False,STREET,41.84547523,-87.718483873,2025,12,3
03/22/2025 01:25:00 PM,DECEPTIVE PRACTICE,False,,41.835478105,-87.641343102,2025,3,13
07/22/2024 09:10:00 PM,BATTERY,False,STREET,41.706506164,-87.673834549,2024,7,21
03/20/2025 09:31:00 AM,THEFT,False,SMALL RETAIL STORE,41.939315143,-87.70942733,2025,3,9
04/29/2025 11:40:00 PM,ASSAULT,True,CHA APARTMENT,41.932755165,-87.647150367,2025,4,23
05/19/2025 01:00:00 PM,THEFT,False,RESIDENCE - PORCH / HALLWAY,41.877498158,-87.760444798,2025,5,13
01/31/2026 05:00:00 AM,MOTOR VEHICLE THEFT,False,STREET,41.693993226,-87.663604049,2026,1,5
07/26/2025 10:00:00 PM,CRIMINAL DAMAGE,False,RESIDENCE,41.994032702,-87.796430113,2025,7,22
01/05/2026 07:00:00 PM,MOTOR VEHICLE THEFT,False,STREET,41.854096462,-87.669457466,2026,1,19
01/21/2025 12:29:00 PM,ROBBERY,True,SMALL RETAIL STORE,41.968763818,-87.688661831,2025,1,12
06/19/2025 12:45:00 PM,BATTERY,False,PARK PROPERTY,41.766038786,-87.58013428,2025,6,12
04/06/2025 11:00:00 AM,BATTERY,False,APARTMENT,41.855190551,-87.623871195,2025,4,11
07/10/2024 05:30:00 PM,CRIMINAL TRESPASS,False,STREET,41.980185362,-87.784225673,2024,7,17
04/04/2025 12:00:00 AM,BATTERY,False,SIDEWALK,42.007861864,-87.668714726,2025,4,0
07/10/2024 01:13:00 AM,OTHER OFFENSE,False,STREET,41.793663218,-87.695322483,2024,7,1
09/09/2025 08:15:00 AM,BATTERY,False,GROCERY FOOD STORE,41.880714044,-87.726705906,2025,9,8
07/17/2024 11:30:00 AM,THEFT,False,PARKING LOT / GARAGE (NON RESIDENTIAL),41.888525948,-87.644322264,2024,7,11
04/15/2025 09:26:00 PM,THEFT,False,SMALL RETAIL STORE,41.722352508,-87.584377376,2025,4,21
11/22/2025 02:00:00 AM,CRIMINAL DAMAGE,False,PARKING LOT / GARAGE (NON RESIDENTIAL),41.871520566,-87.625930316,2025,11,2
